CurrentEquipmentDays,MonthsInService,MonthlyMinutes,PercChangeMinutes,TotalRecurringCharge,OffPeakCallsInOut,PercChangeRevenues,MonthlyRevenue,PeakCallsInOut,OverageMinutes,ReceivedCalls,UnansweredCalls,Churn
361.0,61,219.0,-157.0,22.0,24.0,-19.0,24.0,58.0,0.0,97.2,6.3,1
1504.0,58,10.0,-4.0,17.0,1.0,0.0,16.99,5.0,0.0,0.0,2.7,1
1812.0,60,8.0,-2.0,38.0,3.7,0.0,38.0,1.3,0.0,0.4,0.0,0
458.0,59,1312.0,157.0,75.0,303.7,8.1,82.28,555.7,0.0,200.3,76.0,0
852.0,53,0.0,0.0,17.0,0.0,-0.2,17.14,0.0,0.0,0.0,0.0,1
231.0,53,682.0,148.0,52.0,53.0,-3.1,38.05,33.3,0.0,42.2,13.0,0
601.0,57,26.0,60.0,30.0,1.7,4.0,31.66,1.7,0.0,0.0,2.3,0
464.0,59,98.0,24.0,66.0,7.3,6.8,62.13,7.7,0.0,0.0,4.0,0
544.0,53,24.0,20.0,35.0,1.7,-0.3,35.3,9.3,0.0,2.4,1.0,0
388.0,55,1056.0,43.0,75.0,0.0,2.4,81.0,0.0,0.0,0.0,0.0,0
354.0,53,2.0,-2.0,25.0,0.7,-0.2,25.23,0.7,0.0,1.1,0.3,0
199.0,59,1972.0,-200.0,85.0,128.7,-106.8,212.51,351.7,250.0,718.1,43.7,0
697.0,55,270.0,202.0,37.0,18.0,-1.8,42.56,62.3,6.0,57.1,7.7,0
530.0,57,440.0,-16.0,60.0,14.3,0.2,63.02,141.3,6.0,93.9,17.3,0
253.0,56,162.0,-58.0,70.0,42.3,-1.0,50.97,19.3,2.0,38.4,9.0,0
143.0,58,1978.0,-1007.0,100.0,60.3,-72.5,172.44,718.0,362.0,515.2,114.3,1
573.0,54,47.0,14.0,30.0,3.3,0.0,29.99,22.0,0.0,1.0,2.3,0
319.0,52,34.0,32.0,30.0,0.0,-0.3,30.26,14.3,0.0,0.5,0.7,0
776.0,58,42.0,81.0,17.0,0.7,29.9,24.49,3.0,10.0,0.0,0.0,1
1395.0,54,94.0,-54.0,30.0,19.3,0.0,30.0,26.3,0.0,19.5,5.3,0
628.0,52,139.0,-11.0,35.0,15.3,-0.6,35.55,27.3,0.0,72.5,3.3,0
138.0,58,46.0,-16.0,17.0,14.0,-4.2,21.15,7.0,14.0,2.3,7.3,0
917.0,56,66.0,41.0,30.0,6.3,0.0,28.5,31.7,0.0,26.0,1.3,0
258.0,54,1194.0,-14.0,75.0,65.7,-0.2,99.91,370.0,97.0,288.0,53.3,0
630.0,56,156.0,94.0,30.0,14.7,0.0,30.0,61.7,0.0,13.9,3.0,0
179.0,54,196.0,54.0,30.0,19.3,8.6,33.48,38.0,0.0,74.1,6.3,1
107.0,57,660.0,-184.0,50.0,32.3,-31.6,82.16,162.0,101.0,377.5,10.3,0
616.0,53,56.0,-47.0,30.0,6.0,0.0,30.0,29.3,0.0,13.5,4.0,0
1661.0,55,4.0,-4.0,17.0,0.7,0.0,16.14,3.0,0.0,0.2,1.7,1
864.0,55,684.0,-2.0,55.0,54.3,0.6,57.98,131.3,3.0,203.7,23.7,1
151.0,53,852.0,-206.0,85.0,74.0,0.0,78.29,200.7,0.0,304.8,47.0,1
162.0,55,782.0,-258.0,25.0,119.3,-80.0,107.23,64.3,233.0,786.7,3.0,1
985.0,51,24.0,25.0,30.0,5.3,-0.3,30.26,4.0,0.0,0.1,2.0,1
20.0,55,1293.0,447.0,68.0,86.0,22.4,145.79,345.3,265.0,208.1,39.3,0
977.0,53,100.0,6.0,50.0,10.0,0.0,50.56,19.3,0.0,7.8,18.7,1
528.0,55,404.0,50.0,50.0,8.3,-1.2,51.24,130.3,0.0,73.8,12.3,1
1536.0,50,1.0,0.0,20.0,0.3,-0.2,20.18,0.7,0.0,0.3,0.0,0
